model,r2,mae,mse,rmse
XGBoost,0.941961661110269,0.03187810106387246,0.0020846763034516828,0.04565825558923252
GradientBoosting,0.931764594295702,0.035102958059122676,0.0024509442559757784,0.0495070121899492
RandomForest,0.9260265260205084,0.03617083441916505,0.002657049654402343,0.05154657752365663
ExtraTrees,0.9143336342278348,0.038721445625576945,0.0030770460723791547,0.055471128277502654
Ridge,0.3578956964900103,0.12140894686904317,0.02306371359826193,0.1518674211220495
LinearRegression,0.35789568212532263,0.1214089097388121,0.023063714114226454,0.15186742282078292
Lasso,-4.67091922806695e-06,0.15418448130569626,0.035919119683405804,0.1895234014136666
